iter	Logloss
0	0.5597688968
1	0.4636582595
2	0.3885651002
3	0.3193856753
4	0.2691212801
5	0.2265260586
6	0.1930832496
7	0.1514257926
8	0.1292173129
9	0.11008347
10	0.09773819263
11	0.0882818974
12	0.08080603526
13	0.07150732554
14	0.06557814892
15	0.05971214863
16	0.05434921155
17	0.05017982538
18	0.04709427173
19	0.04347762695
20	0.04041578219
21	0.03744587531
22	0.03522211772
23	0.03255051833
24	0.03076625787
25	0.02915217326
26	0.02768558722
27	0.02611564214
28	0.02499203957
29	0.02399364343
30	0.02299315196
31	0.02163828795
32	0.02078301173
33	0.01988202563
34	0.01922628742
35	0.01868294409
36	0.01787973138
37	0.01715764633
38	0.01662449653
39	0.0161733868
40	0.01570789401
41	0.01506447104
42	0.01467471054
43	0.01419978646
44	0.01377206353
45	0.01328065762
46	0.01286609471
47	0.01239584845
48	0.01202438542
49	0.0117586278
50	0.01146889421
51	0.01113555752
52	0.0108785721
53	0.01061199032
54	0.01037498965
55	0.01015043488
56	0.009822207002
57	0.009603508963
58	0.009416901148
59	0.009238429941
60	0.008998596324
61	0.008803963088
62	0.008635969116
63	0.008437087903
64	0.00821842024
65	0.007999948584
66	0.007817092996
67	0.007678593581
68	0.007515626458
69	0.007295924311
70	0.007156695311
71	0.007015612263
72	0.006910220935
73	0.006778455124
74	0.006659385677
75	0.006539193483
76	0.006442615619
77	0.006337507413
78	0.006231435216
79	0.006126883511
80	0.00602636429
81	0.005929595003
82	0.005844031389
83	0.00576561804
84	0.005679857272
85	0.005593588719
86	0.005511189309
87	0.005439514151
88	0.005361348391
89	0.0053019409
90	0.005215585232
91	0.005146691432
92	0.005083227387
93	0.005024390725
94	0.004971451484
95	0.004909326824
96	0.004856887918
97	0.004796954875
98	0.004741751804
99	0.004688348335
100	0.004637001799
101	0.00458653701
102	0.004536991223
103	0.004488628644
104	0.004441612615
105	0.004397287678
106	0.004349952707
107	0.004318514696
108	0.004275084975
109	0.00423127642
110	0.004180779251
111	0.004138998687
112	0.00409864405
113	0.00405628664
114	0.004017731605
115	0.003974767832
116	0.003934129499
117	0.003894445415
118	0.003859975304
119	0.00382512464
120	0.003790919024
121	0.003756956699
122	0.003718935526
123	0.003678917885
124	0.003643731945
125	0.003612983685
126	0.003583155286
127	0.0035543906
128	0.003525623908
129	0.003490650883
130	0.003466124145
131	0.003438430337
132	0.003407879804
133	0.003381323356
134	0.003356080216
135	0.003319412183
136	0.003298835399
137	0.003274597801
138	0.003249658415
139	0.003217994594
140	0.003194028368
141	0.003173697167
142	0.003140600541
143	0.003122844948
144	0.003101021051
145	0.00307859681
146	0.00305733887
147	0.003035858274
148	0.003007404793
149	0.002986729718
150	0.002960438912
151	0.002935071977
152	0.0029098019
153	0.002886675871
154	0.002867820458
155	0.002845461552
156	0.002830072664
157	0.002802751672
158	0.002780401363
159	0.002757479652
160	0.002740430431
161	0.002722403178
162	0.002701200545
163	0.002675955112
164	0.002657328947
165	0.002643186312
166	0.00262425668
167	0.002603698235
168	0.002587997856
169	0.002571548693
170	0.002556997423
171	0.002537221003
172	0.002521326336
173	0.002502683264
174	0.002491822036
175	0.002475712448
176	0.002462124595
177	0.002446163732
178	0.002428562022
179	0.002412975121
180	0.002395424419
181	0.002382607557
182	0.00236454692
183	0.002350074741
184	0.002335329325
185	0.002323584774
186	0.002307370305
187	0.002292899272
188	0.002277555087
189	0.002263871523
190	0.002250844326
191	0.00223951228
192	0.002224733337
193	0.002213346844
194	0.00220214991
195	0.0021923438
196	0.002183390925
197	0.002169282964
198	0.002155632354
199	0.002143076406
